dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
step 2850/5000 lr=5.70e-05 loss=0.1150 target_feat_std=0.9464 context_feat_std=0.9544 pred_feat_std=0.8086 clips/s=123.5
step 2900/5000 lr=5.80e-05 loss=0.1045 target_feat_std=0.9447 context_feat_std=0.9520 pred_feat_std=0.8242 clips/s=253.8
step 2950/5000 lr=5.90e-05 loss=0.1128 target_feat_std=0.9480 context_feat_std=0.9525 pred_feat_std=0.8086 clips/s=180.6
step 3000/5000 lr=6.00e-05 loss=0.1114 target_feat_std=0.9511 context_feat_std=0.9557 pred_feat_std=0.8164 clips/s=219.2
step 3050/5000 lr=6.10e-05 loss=0.1098 target_feat_std=0.9508 context_feat_std=0.9544 pred_feat_std=0.8242 clips/s=128.2
step 3100/5000 lr=6.20e-05 loss=0.1103 target_feat_std=0.9515 context_feat_std=0.9526 pred_feat_std=0.8242 clips/s=240.4
step 3150/5000 lr=6.30e-05 loss=0.1030 target_feat_std=0.9497 context_feat_std=0.9482 pred_feat_std=0.8398 clips/s=168.8
step 3200/5000 lr=6.40e-05 loss=0.1090 target_feat_std=0.9496 context_feat_std=0.9484 pred_feat_std=0.8359 clips/s=184.0
step 3250/5000 lr=6.50e-05 loss=0.1049 target_feat_std=0.9514 context_feat_std=0.9484 pred_feat_std=0.8281 clips/s=131.1
step 3300/5000 lr=6.60e-05 loss=0.0941 target_feat_std=0.9505 context_feat_std=0.9451 pred_feat_std=0.8438 clips/s=171.2
step 3350/5000 lr=6.70e-05 loss=0.1013 target_feat_std=0.9508 context_feat_std=0.9469 pred_feat_std=0.8398 clips/s=171.6
step 3400/5000 lr=6.80e-05 loss=0.0940 target_feat_std=0.9503 context_feat_std=0.9463 pred_feat_std=0.8359 clips/s=165.5
step 3450/5000 lr=6.90e-05 loss=0.0931 target_feat_std=0.9501 context_feat_std=0.9454 pred_feat_std=0.8359 clips/s=128.9
step 3500/5000 lr=7.00e-05 loss=0.0953 target_feat_std=0.9519 context_feat_std=0.9458 pred_feat_std=0.8398 clips/s=203.4
step 3550/5000 lr=7.10e-05 loss=0.0940 target_feat_std=0.9512 context_feat_std=0.9436 pred_feat_std=0.8438 clips/s=168.7
step 3600/5000 lr=7.20e-05 loss=0.0953 target_feat_std=0.9499 context_feat_std=0.9434 pred_feat_std=0.8359 clips/s=165.2
step 3650/5000 lr=7.30e-05 loss=0.0915 target_feat_std=0.9469 context_feat_std=0.9386 pred_feat_std=0.8398 clips/s=116.0
