objective	family	representation	method	target_offset	target	sigma	metric	mean	std	n	status
jepa	physics	pooled	selected	16	buoyancy_gradient_energy		test_log_mse	1.8445334901721337		1	ok
jepa	physics	pooled	mlp	16	buoyancy_laplacian_magnitude		test_vrmse	0.13168175108510993		1	ok
jepa	physics	pooled	mlp	16	buoyancy_laplacian_magnitude		test_r2	0.9826599164311591		1	ok
jepa	physics	pooled	mlp	16	buoyancy_laplacian_magnitude		test_pearson_r	0.9916642870615444		1	ok
jepa	physics	pooled	mlp	16	buoyancy_laplacian_magnitude		test_mse	8010.175567535777		1	ok
jepa	physics	pooled	mlp	16	buoyancy_laplacian_magnitude		test_log_mse	3.903642035082537		1	ok
jepa	physics	pooled	ridge	16	buoyancy_laplacian_magnitude		test_vrmse	0.20455561461274172		1	ok
jepa	physics	pooled	ridge	16	buoyancy_laplacian_magnitude		test_r2	0.9581570005304035		1	ok
jepa	physics	pooled	ridge	16	buoyancy_laplacian_magnitude		test_pearson_r	0.9790666044544948		1	ok
jepa	physics	pooled	ridge	16	buoyancy_laplacian_magnitude		test_mse	19329.190121439526		1	ok
jepa	physics	pooled	ridge	16	buoyancy_laplacian_magnitude		test_log_mse	4.286213657796879		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_laplacian_magnitude		test_vrmse	0.19140460929158143		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_laplacian_magnitude		test_r2	0.963364275541937		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_laplacian_magnitude		test_pearson_r	0.9817069544859547		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_laplacian_magnitude		test_mse	16923.71226400991		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_laplacian_magnitude		test_log_mse	4.22849563287203		1	ok
jepa	physics	pooled	selected	16	buoyancy_laplacian_magnitude		test_vrmse	0.13168175108510993		1	ok
jepa	physics	pooled	selected	16	buoyancy_laplacian_magnitude		test_r2	0.9826599164311591		1	ok
